Customer ID,Customer Name,Email,Member Since,Subscription Plan,Subscription Rate,Discount?,Cancellation Date
5009,Cadence Beat,Email: lyrical.cadence@email.com,3/28/23,Basic (Ads),$2.99,,
5035,Benny Rivers,Email: lofi.benny@email.com,4/19/23,Basic (Ads),$2.99,,
5053,Rhythm Kingbird,Email: melodic.rhythm@email.com,3/17/23,Basic (Ads),$2.99,,5/11/23
5106,Allegra Coleman,Email: groovy.allegra@email.com,3/31/23,Basic (Ads),$2.99,,
5117,Harmony Wood,Email: smooth.harmony@email.com,3/17/23,Basic (Ads),$2.99,,
5128,Forte Drummond,Email: musical.forte@email.com,3/14/23,Basic (Ads),$2.99,,
5152,Bobby Groove,Email: soulful.bobby@email.edu,5/5/23,Basic (Ads),$2.99,,7/9/23
5188,Treble Parks,Email: digital.treble@email.com,4/11/23,Basic (Ads),$2.99,,
5241,Symphony Brooks,Email: funky.symphony@email.edu,3/13/23,Basic (Ads),$2.99,,5/23/23
5319,Beatrice Parks,Email: retro.beatrice@email.com,4/11/23,Basic (Ads),$2.99,,6/22/23
5344,Greta Rhodes,Email: harmonic.greta@email.com,5/10/23,Basic (Ads),$2.99,,8/6/23
5409,Clef Lake,Email: modern.clef@email.com,4/4/23,Basic (Ads),$2.99,,
5434,Bass Wood,Email: dynamic.bass@email.com,3/14/23,Basic (Ads),$2.99,,
5488,Jazz Dixon,Email: classic.jazz@email.com,3/20/23,Basic (Ads),$2.99,,5/7/23
5514,Tenor Flat,Email: modern.tenor@email.com,5/5/23,Basic (Ads),$2.99,,
5520,Symphony Reed,Email: vivid.symphony@email.com,3/29/23,Basic (Ads),$2.99,,5/14/23
5525,Alto Campbell,Email: vivid.alto@email.com,4/17/23,Basic (Ads),$2.99,,
5651,Forte Rhodes,Email: digital.forte@email.com,3/16/23,Basic (Ads),$2.99,,
5711,Kiki Stone,Email: melodic.kiki@email.com,3/14/23,Basic (Ads),$2.99,,
5750,Tempo Wood,Email: soulful.tempo@email.com,3/23/23,Basic (Ads),$2.99,,
5771,Greta Rivers,Email: sonorous.greta@email.com,3/24/23,Basic (Ads),$2.99,,
5821,Coda Groove,Email: hipster.coda@email.edu,4/6/23,Basic (Ads),$2.99,,6/7/23
5828,Forte Hill,Email: classic.forte@email.com,4/21/23,Basic (Ads),$2.99,,
5887,Rhythm Lane,Email: harmonic.rhythm@email.com,5/1/23,Basic (Ads),$2.99,,
5916,Bass Hunter,Email: modern.bass@email.com,5/3/23,Basic (Ads),$2.99,,7/9/23
5931,Greta Parks,Email: tuneful.greta@email.com,4/5/23,Basic (Ads),$2.99,,
5936,Reed Heart,Email: vivid.reed@email.com,4/26/23,Basic (Ads),$2.99,,
5949,Tempo Kingbird,Email: funky.tempo@email.com,4/6/23,Basic (Ads),$2.99,,
5958,Tempo Fitzgerald,Email: soulful.tempo@email.com,5/9/23,Basic (Ads),$2.99,,
5960,Tempo Nash,Email: indie.tempo@email.com,3/23/23,Basic (Ads),$2.99,,6/20/23
5964,Kiki Flat,Email: tuneful.kiki@email.com,3/15/23,Basic (Ads),$2.99,,
5993,Bobby Wood,Email: lofi.bobby@email.com,4/21/23,Basic (Ads),$2.99,,6/28/23
5998,Tenor Coleman,Email: harmonic.tenor@email.edu,3/13/23,Basic (Ads),$2.99,,5/4/23
6040,Bobby Moon,Email: acoustic.bobby@email.com,4/19/23,Basic (Ads),$2.99,,
6049,Rock Fitzgerald,Email: funky.rock@email.edu,3/15/23,Basic (Ads),$2.99,,
6084,Lyric Keys,Email: lyrical.lyric@email.com,3/16/23,Basic (Ads),$2.99,,
6104,Solo Saxton,Email: vibrant.solo@email.com,4/12/23,Basic (Ads),$2.99,,
6113,Carol Dixon,Email: tuneful.carol@email.com,3/15/23,Basic (Ads),$2.99,,
6122,Tempo Moon,Email: jazzy.tempo@email.com,3/27/23,Basic (Ads),$2.99,,
